# Min values: 183.7, 260.4, 197.3, 264.8, 241.0
# Max values: 325.8, 382.5, 285.0, 378.7, 439.8
# Starting CSV logging...
time_ms,raw0,raw1,raw2,raw3,raw4,gyroX_dps,gyroY_dps,gyroZ_dps,norm0,norm1,norm2,norm3,norm4,gestureID,Button
8302,173,260,184,286,198,14.389,2.954,-0.046,0.0000,0.0000,0.0000,0.1859,0.0000,1,0
8350,176,268,187,296,205,9.870,-7.122,-4.863,0.0000,0.0625,0.0000,0.2737,0.0000,1,0
8403,178,275,191,306,213,-7.817,4.977,0.069,0.0000,0.1198,0.0000,0.3615,0.0000,1,0
8450,181,280,193,311,217,9.550,-17.527,-2.466,0.0000,0.1607,0.0000,0.4054,0.0000,1,0
8501,185,286,196,317,221,0.420,4.618,-1.458,0.0095,0.2098,0.0000,0.4581,0.0000,1,0
8550,187,291,196,321,227,-9.122,6.893,6.214,0.0235,0.2507,0.0000,0.4932,0.0000,1,0
8601,187,298,195,326,240,-65.214,12.061,38.198,0.0235,0.3080,0.0000,0.5371,0.0000,1,0
8651,184,298,194,323,249,-126.084,39.466,51.863,0.0024,0.3080,0.0000,0.5108,0.0400,1,0
8702,179,294,193,315,251,-58.832,51.397,20.389,0.0000,0.2753,0.0000,0.4405,0.0501,1,0
8753,175,293,191,311,248,-32.359,-11.985,17.550,0.0000,0.2671,0.0000,0.4054,0.0350,1,0
8802,175,292,190,310,247,24.595,-6.924,2.382,0.0000,0.2589,0.0000,0.3966,0.0300,1,0
8853,174,290,190,309,247,-1.519,-0.519,7.763,0.0000,0.2426,0.0000,0.3878,0.0300,1,0
8900,174,289,190,308,246,-29.702,-1.733,12.824,0.0000,0.2344,0.0000,0.3791,0.0249,1,0
8954,174,289,189,308,244,40.542,5.366,-2.366,0.0000,0.2344,0.0000,0.3791,0.0149,1,0
9001,174,288,189,306,242,-15.435,5.298,8.939,0.0000,0.2262,0.0000,0.3615,0.0048,1,0
9054,174,288,189,305,242,22.183,-4.924,-7.634,0.0000,0.2262,0.0000,0.3527,0.0048,1,0
9101,173,288,189,306,243,39.267,3.076,-11.214,0.0000,0.2262,0.0000,0.3615,0.0098,1,0
9152,173,289,189,306,246,7.626,3.924,-6.710,0.0000,0.2344,0.0000,0.3615,0.0249,1,0
9202,173,289,189,305,245,20.321,3.496,-5.817,0.0000,0.2344,0.0000,0.3527,0.0199,1,0
9253,173,289,189,304,244,5.275,3.084,4.893,0.0000,0.2344,0.0000,0.3439,0.0149,1,0
9302,173,288,189,304,245,10.550,2.824,1.824,0.0000,0.2262,0.0000,0.3439,0.0199,1,0
9353,173,288,188,304,245,2.214,3.748,2.107,0.0000,0.2262,0.0000,0.3439,0.0199,1,0
9400,173,287,188,303,245,4.092,3.542,-1.710,0.0000,0.2180,0.0000,0.3351,0.0199,1,0
9453,173,286,188,304,243,3.992,4.122,-1.603,0.0000,0.2098,0.0000,0.3439,0.0098,1,0
9501,173,286,188,304,243,3.351,1.099,0.550,0.0000,0.2098,0.0000,0.3439,0.0098,1,0
9554,173,286,188,303,242,9.435,5.023,0.000,0.0000,0.2098,0.0000,0.3351,0.0048,1,0
9601,173,286,188,303,241,4.359,4.359,0.977,0.0000,0.2098,0.0000,0.3351,0.0000,1,0
9652,173,285,188,303,240,11.359,0.229,-1.573,0.0000,0.2016,0.0000,0.3351,0.0000,1,0
9701,173,285,189,303,241,9.847,1.053,-0.672,0.0000,0.2016,0.0000,0.3351,0.0000,1,0
9752,173,285,189,303,240,6.046,1.252,-1.794,0.0000,0.2016,0.0000,0.3351,0.0000,1,0
9800,172,284,188,302,240,-1.015,-1.840,-1.397,0.0000,0.1934,0.0000,0.3264,0.0000,1,0
9853,173,283,188,302,239,8.855,1.168,-3.573,0.0000,0.1853,0.0000,0.3264,0.0000,1,0
9900,304,365,313,376,341,-1.847,0.336,0.160,0.8468,0.8564,1.0000,0.9761,0.5030,1,1
